file,line,value,category,harmful,recommended_action,action_completed,notes
config/default_config.yml,96,"outputs.root E:/rithwikS2026/aria_rig_calibration_results_python",machine-specific path,yes,Replace with ${ARIA_OUTPUT_ROOT} default,yes,Env-var expansion added
studies/so_pedestrian/study_config.yml,15,"input.roots E:/rithwikS2026",machine-specific path,yes,Move to study_config.example.yml with ${ARIA_DATA_ROOT},yes,Committed file is now .example.yml
studies/so_pedestrian/study_config.yml,40,"metadata.local Participant Tracker path",machine-specific path,yes,Use ${ARIA_METADATA_FILE},yes,Example config only
studies/so_pedestrian/study_config.yml,43,"outputs.root E:/rithwikS2026/...",machine-specific path,yes,Use ${ARIA_OUTPUT_ROOT},yes,Example config only
studies/so_pedestrian/study_config.yml,48-50,"legacy_comparison.reference_outputs absolute CSVs",machine-specific path,yes,Move to internal validation env vars,yes,Removed from committed study config
studies/example_study/study_config.yml,14,"input.roots E:/some_other_project",documentation example,yes,Use ${ARIA_DATA_ROOT},yes,Rewritten
scripts/run_analysis.py,9,"sys.path.insert repo src",machine-specific path,yes,Make thin wrapper importing installed package,yes,pipeline moved into package
tests/test_core.py,95-104,"E:/rithwikS2026 dataset paths",test fixture,yes,Move to local_parity marker,yes,Moved to tests/local_parity
tests/test_core.py,0,"rerun_env python interpreter",machine-specific path,no,Use current interpreter,yes,CI + venv use active python
src/aria_rig_calibration/discovery.py,10,"PRUNE regex project names",software constant,no,Keep; harmless dir pruning,no,Study-flavoured but safe
studies/so_pedestrian/study_config.yml,24,"participants.include 1-37",study-specific configuration,no,Keep in config,no,Correct location
studies/so_pedestrian/study_config.yml,44,"run_label so_pedestrian_PID1_to_PID37",study-specific configuration,yes,Derive label from discovered scope,yes,Phase 9 scope-aware label
README.md,-,"R migration / 85-85 / 125-125 wording",inaccurate claim,yes,Move to internal validation_history.md,yes,README rewritten
pyproject.toml,8,"description mentions parity-validated port",documentation example,yes,Neutral description,yes,Updated
src/aria_rig_calibration/visualization.py,10,"TARGET_COL hardcoded colours",study-specific configuration,yes,Read colours from target config,yes,Phase 13
src/aria_rig_calibration/visualization.py,30,"block lines start+5 start+10",scientific parameter,yes,Derive boundaries from target count,yes,Phase 8
src/aria_rig_calibration/legacy_sliding_window.py,60-64,"block_1/2/3_sample_count fixed",scientific parameter,no,Generalise via loop; keep 3-target output,yes,Phase 8 N-target
src/aria_rig_calibration/legacy_sliding_window.py,52,"explicit 3-pair min-distance",scientific parameter,no,itertools.combinations over all pairs,yes,Identical for N=3
src/aria_rig_calibration/target_blocks.py,43,"pairwise [(0,1),(0,2),(1,2)]",scientific parameter,no,itertools.combinations,yes,Identical for N=3
scripts/run_analysis.py,89-90,"summaries[0/1/2] block_1/2/3_samples",scientific parameter,no,Generalise; keep 3-target columns,yes,Phase 8
docs README,-,"depth is QC-only",inaccurate claim,yes,Document depth scales scoring x/y/z,yes,Phase 7
src/aria_rig_calibration/metadata.py,-,"'never read' privacy claim",inaccurate claim,yes,Retain-only wording + enforce forbidden_tokens,yes,Phase 10
scripts/run_analysis.py,166-168,"source_files_modified false unverified",inaccurate claim,yes,Implement real SHA-256 integrity checks,yes,Phase 14 integrity.py
src/aria_rig_calibration/excel_writer.py,54,"validate only row counts",inaccurate claim,yes,Validate headers/order/keys/privacy,yes,Phase 15
config/default_config.yml,13-16,"input.accepted_* / recursive / duplicate_policy",unused configuration,no,Remove or implement,yes,Removed unused keys
config/default_config.yml,86-93,"metadata.source_priority/sheet/preferred_gid",unused configuration,no,Remove,yes,Removed
config/default_config.yml,108-111,"integrity.* declared not used",unused configuration,yes,Implement integrity checks,yes,Phase 14
config/default_config.yml,95-106,"outputs.png/svg/pdf/html partly ignored",unused configuration,yes,Honour each format flag,yes,Phase 13
scripts/run_analysis.py,24,"--mode arbitrary string",software constant,yes,Remove from CLI,yes,Phase 16
scripts/run_analysis.py,25,"--refresh/--offline metadata flags",software constant,yes,Replace with --metadata-mode,yes,Phase 16
